('APT_WIN_Gh0st_ver', None, 'apt', 'Severe', '')
('TRELLIX_ARC_Pwnlnx_Backdoor_Variant_1', 75, 'backdoor', 'Medium', 'Rule to detect the backdoor pwnlnx variant 1')
('TRELLIX_ARC_Pwnlnx_Backdoor_Variant_2', 75, 'backdoor', 'Medium', 'Rule to detect the backdoor pwnlnx variant 2')
('TRELLIX_ARC_Pwnlnx_Backdoor_Variant_3', 75, 'backdoor', 'Medium', 'Rule to detect the backdoor pwnlnx variant')
('TRELLIX_ARC_Pwnlnx_Backdoor_Variant_4', 75, 'backdoor', 'Medium', 'Rule to detect the backdoor pwnlnx variant 4')
('TRELLIX_ARC_Pwnlnx_Backdoor_Variant_6', 75, 'backdoor', 'Medium', 'Rule to detect the backdoor pwnlnx variant 6')
('TRELLIX_ARC_Mirai_Casper_Variant', 75, 'backdoor', 'Medium', 'Rule to detect the Mirai Casper variant')
('TRELLIX_ARC_APT_Stolen_Certificates', 75, 'backdoor', 'Medium', 'Rule to detect samples digitally signed from these stolen certificates')
('TRELLIX_ARC_Apt_Aurora_Pdb_Samples', 75, 'backdoor', 'Medium', 'Aurora APT Malware 2006-2010')
('TRELLIX_ARC_Milum_Trojan', 75, 'trojan', 'Medium', 'Rule to detect Milum trojan from the Wildpressure operation')
('TRELLIX_ARC_Apt_Manitsme_Trojan', 75, 'trojan', 'Medium', 'Rule to detect the Manitsme trojan')
('TRELLIX_ARC_Apt_Nix_Elf_Derusbi', 75, 'backdoor', 'Medium', 'Rule to detect the APT Derusbi ELF file')
('TRELLIX_ARC_Apt_Nix_Elf_Derusbi_Kernelmodule', 75, 'backdoor', 'Medium', 'Rule to detect the Derusbi ELK Kernel module')
('TRELLIX_ARC_Apt_Nix_Elf_Derusbi_Linux_Sharedmemcreation', 75, 'backdoor', 'Medium', 'Rule to detect Derusbi Linux Shared Memory creation')
('TRELLIX_ARC_Apt_Nix_Elf_Derusbi_Linux_Strings', 75, 'backdoor', 'Medium', 'Rule to detect APT Derusbi Linux Strings')
('TRELLIX_ARC_Apt_Miniasp_Pdb', 75, 'trojan', 'Medium', 'Rule to detect MiniASP based on PDB')
('TRELLIX_ARC_Apt_Blackenergy_Pdb', 75, 'trojan', 'Medium', 'Rule to detect the BlackEnergy trojan')
('TRELLIX_ARC_Apt_Babar_Malware', 75, 'backdoor', 'Medium', 'Rule to detect Babar malware')
('TRELLIX_ARC_Apt_Lagulon_Trojan_Pdb', 75, 'trojan', 'Medium', 'Rule to detect trojan Lagulon based on PDB')
('TRELLIX_ARC_Apt_Elise_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect Elise APT based on the PDB reference')
('TRELLIX_ARC_Apt_Gdocupload_Glooxmail', 75, 'backdoor', 'Medium', 'Rule to detect gdocupload tool used by APT1')
('TRELLIX_ARC_Apt_Hanover_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect hanover samples based on PDB')
('TRELLIX_ARC_Apt_Hanover_Appinbot_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect hanover appinbot samples based on PDB')
('TRELLIX_ARC_Apt_Hanover_Foler_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect hanover foler samples')
('TRELLIX_ARC_Apt_Hanover_Linog_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect hanover linog samples based on PDB')
('TRELLIX_ARC_Apt_Hanover_Ron_Babylon_Pdb', 75, 'backdoor', 'Medium', 'apt_hanover_ron_babylon')
('TRELLIX_ARC_Apt_Hanover_Slidewin_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect hanover slidewin samples')
('TRELLIX_ARC_Apt_Hikit_Rootkit', 75, 'rootkit', 'Severe', 'Rule to detect the rootkit hikit based on PDB')
('TRELLIX_ARC_Enfal_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect Enfal malware')
('TRELLIX_ARC_Apt_Gauss_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect Gauss based on PDB')
('TRELLIX_ARC_Troy_Malware_Campaign_Pdb', 75, 'backdoor', 'Medium', 'Rule to detect the Operation Troy based on the PDB')
('TRELLIX_ARC_Apt_Mirage_Pdb', 75, 'trojan', 'Medium', 'Rule to detect Mirage samples based on PDB')
('TRELLIX_ARC_Chimera_Recordedtv_Modified', 75, 'trojan', 'Medium', 'Rule to detect the modified version of RecordedTV.ms found in the Operation Skeleton')
('TRELLIX_ARC_STEALER_Lokibot', 75, 'stealer', 'Medium', 'Rule to detect Lokibot stealer')
('TRELLIX_ARC_STEALER_Emirates_Statement', 75, 'stealer', 'Medium', 'Credentials Stealing Attack')
('TRELLIX_ARC_STEALER_Credstealesy', 75, 'stealer', 'Medium', 'Generic Rule to detect the CredStealer Malware')
('TRELLIX_ARC_MINER_Monero_Mining_Detection', 75, 'miner', 'Medium', 'Monero mining software')
('TRELLIX_ARC_Ransom_Linux_Hellokitty_0721', 75, 'ransomware', 'Severe', 'rule to detect Linux variant of the Hello Kitty Ransomware')
('TRELLIX_ARC_Amba_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Amba Ransomware')
('TRELLIX_ARC_RANSOM_Mountlocker', 75, 'ransomware', 'Severe', 'Rule to detect Mount Locker ransomware')
('TRELLIX_ARC_Termite_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect the Termite Ransomware')
('TRELLIX_ARC_MALW_Thiefquest', 75, 'keylogger, backdoor, ransomware', 'Severe', 'Rule to detect the Evilquest/ThiefQuest malware')
('TRELLIX_ARC_Shrug2_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect the Shrug Ransomware')
('TRELLIX_ARC_Locdoor_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Locdoor/DryCry')
('TRELLIX_ARC_Samsamransom2016', 75, 'ransomware', 'Severe', 'No description has been set in the source file - Trellix ARC')
('TRELLIX_ARC_Samsam_Ransomware_Latest', 50, 'ransomware', 'Severe', 'Latest SamSA ransomware samples')
('TRELLIX_ARC_Screenlocker_Acroware', 75, 'ransomware', 'Severe', 'Rule to detect the ScreenLocker Acroware')
('TRELLIX_ARC_Robbinhood_Ransomware', 75, 'ransomware', 'Severe', 'Robbinhood GoLang ransowmare')
('TRELLIX_ARC_Wannaren_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect WannaRen Ransomware')
('TRELLIX_ARC_Cryptolocker_Set1', 75, 'ransomware', 'Severe', 'Detection of Cryptolocker Samples')
('TRELLIX_ARC_Cryptolocker_Rule2', 75, 'ransomware', 'Severe', 'Detection of CryptoLocker Variants')
('TRELLIX_ARC_Snake_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Snake ransomware')
('TRELLIX_ARC_Megacortex_Signed', 75, 'ransomware', 'Severe', 'Rule to detect MegaCortex samples digitally signed')
('TRELLIX_ARC_Ryuk_Ransomware', 50, 'ransomware', 'Severe', 'Ryuk Ransomware hunting rule')
('TRELLIX_ARC_Jeff_Dev_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Jeff Dev Ransomware')
('TRELLIX_ARC_RANSOM_Makop', 75, 'ransomware', 'Severe', 'Rule to detect the unpacked Makop ransomware samples')
('TRELLIX_ARC_Unpacked_Shiva_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect an unpacked sample of Shiva ransomware')
('TRELLIX_ARC_Badbunny', 75, 'ransomware', 'Severe', 'Bad Rabbit Ransomware')
('TRELLIX_ARC_Badrabbit_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Bad Rabbit Ransomware')
('TRELLIX_ARC_Nemty_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Nemty Ransomware')
('TRELLIX_ARC_Nemty_Ransomware_2_6', 75, 'ransomware', 'Severe', 'Rule to detect Nemty Ransomware version 2.6')
('TRELLIX_ARC_Ransom_Conti', 75, 'ransomware', 'Severe', 'Conti ransomware is havnig capability too scan and encrypt oover the network')
('TRELLIX_ARC_RANSOM_Darkside', 75, 'ransomware', 'Severe', 'Rule to detect packed and unpacked samples of DarkSide')
('TRELLIX_ARC_Loocipher_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Loocipher ransomware')
('TRELLIX_ARC_Ransom_Maze', 75, 'ransomware', 'Severe', 'Detecting MAZE Ransomware')
('TRELLIX_ARC_RANSOM_Suncrypt', 75, 'ransomware', 'Severe', 'Rule to detect SunCrypt ransomware')
('TRELLIX_ARC_RANSOM_Suncrypt_Decryptor', 75, 'ransomware', 'Severe', 'Rule to detect SunCrypt ransomware decryptor')
('TRELLIX_ARC_Lockergogaransomware', 75, 'ransomware', 'Severe', 'LockerGoga Ransomware')
('TRELLIX_ARC_Nefilim_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Nefilim ransomware')
('TRELLIX_ARC_Nefilim_Signed', 75, 'ransomware', 'Severe', 'Rule to detect Nefilim samples digitally signed')
('TRELLIX_ARC_RANSOM_Nefilim_Go', 75, 'ransomware', 'Severe', 'Rule to detect the new Nefilim written in GO')
('TRELLIX_ARC_Bitpaymer_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect BitPaymer Ransomware')
('TRELLIX_ARC_Crime_Ransomware_Windows_Gpgqwerty', 75, 'ransomware', 'Severe', 'Detect GPGQwerty ransomware')
('TRELLIX_ARC_Ransom_Win_Blackcat', 75, 'ransomware', 'Severe', 'Detecting variants of Windows BlackCat malware')
('TRELLIX_ARC_Anatova_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect the Anatova Ransomware')
('TRELLIX_ARC_Ransom_Monglock', 75, 'ransomware', 'Severe', 'Ransomware encrypting Mongo Databases ')
('TRELLIX_ARC_Ragnarlocker_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect RagnarLocker samples')
('TRELLIX_ARC_Purelocker_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect PureLocker ransomware based on binary sequences')
('TRELLIX_ARC_Ransom_Tunderx', 75, 'ransomware', 'Severe', 'Rule to detect tthe ThunderX ransomware family')
('TRELLIX_ARC_RANSOM_Exorcist', 75, 'ransomware', 'Severe', 'Rule to detect Exorcist')
('TRELLIX_ARC_Pico_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Pico Ransomware')
('TRELLIX_ARC_Ransom_Xinof', 75, 'ransomware', 'Severe', 'Detect Xinof ransomware')
('TRELLIX_ARC_Ransom_Egregor', 75, 'ransomware', 'Severe', 'Detect Egregor ransomware')
('TRELLIX_ARC_Ransomware_Sodinokibi', 75, 'ransomware', 'Severe', 'Using a recently disclosed vulnerability in Oracle WebLogic, criminals use it to install a new variant of ransomware called “Sodinokibi')
('TRELLIX_ARC_Sodinokobi', 75, 'ransomware', 'Severe', 'This rule detect Sodinokobi Ransomware in memory in old samples and perhaps future.')
('TRELLIX_ARC_Ransom_Black_Kingdom', 50, 'ransomware', 'Severe', 'Rule to detect Black Kingdom ransomware that is spread using the latest Exchange vulns')
('TRELLIX_ARC_Kraken_Cryptor_Ransomware_Loader', 75, 'ransomware', 'Severe', 'Rule to detect the Kraken Cryptor Ransomware loader')
('TRELLIX_ARC_Kraken_Cryptor_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect the Kraken Cryptor Ransomware')
('TRELLIX_ARC_Ransom_Note_Kraken_Cryptor_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect the ransom note delivered by Kraken Cryptor Ransomware')
('TRELLIX_ARC_Netwalker_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Netwalker ransomware')
('TRELLIX_ARC_Netwalker', 75, 'ransomware', 'Severe', 'Rule based on code overlap in RagnarLocker ransomware')
('TRELLIX_ARC_Win_Netwalker_Reflective_Dll_Injection_Decoded', 75, 'ransomware', 'Severe', 'Rule to detect Reflective DLL Injection Powershell Script dropping Netwalker, after hexadecimal decoded and xor decrypted ')
('TRELLIX_ARC_Clop_Ransom_Note', 75, 'ransomware', 'Severe', 'Rule to detect Clop Ransomware Note')
('TRELLIX_ARC_Cryptonar_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect CryptoNar Ransomware')
('TRELLIX_ARC_Installer_Coronavirus', 75, 'ransomware', 'Severe', 'Rule to detect the Corona Virus Installer')
('TRELLIX_ARC_Ransomware_Coronavirus', 75, 'ransomware', 'Severe', 'Rule to detect the Corona Virus ransomware')
('TRELLIX_ARC_RANSOM_Wastedlocker', 75, 'ransomware', 'Severe', 'Rule to detect unpacked samples of WastedLocker')
('TRELLIX_ARC_Buran_Ransomware', 75, 'ransomware', 'Severe', 'Rule to detect Buran ransomware')
('TRELLIX_ARC_Backdoorfckg', 75, 'ransomware', 'Severe', 'CTB_Locker')
('SIGNATURE_BASE_APT_NK_Scarcruft_RUBY_Shellcode_XOR_Routine', 75, 'apt', 'Severe', 'Detects Ruby ShellCode XOR routine used by ScarCruft APT group')
('SIGNATURE_BASE_APT_NK_Scarcruft_Evolved_ROKRAT', 75, 'apt', 'Severe', 'Detects RokRAT malware used by ScarCruft APT group')
('KiloAlfa', None, 'keylogger', 'Medium', '')
